Date/Time,Electricity:Facility,Fans:Electricity,Cooling:Electricity,Heating:Electricity,InteriorLights:Electricity,InteriorEquipment:Electricity,Gas:Facility,Heating:Gas,InteriorEquipment:Gas,Water Heater:WaterSystems:Gas
 10/02  18:00:00,1243.77359265,96.2167197752,602.59415984,0.0,166.938926447,199.110933808,439.182981092,336.806406681,84.9700494144,17.406524997
 10/02  19:00:00,1254.39382426,96.2167197752,613.218144048,0.0,166.938926447,191.61365848,420.00434611,354.646278075,56.6466996096,8.71136842536
 10/02  20:00:00,1115.99093461,96.2167197752,609.040905023,0.0,100.150657288,124.558693486,476.394987107,402.344066039,56.6466996096,17.4042214582
 10/02  21:00:00,1074.02635,96.2167197752,606.666438268,0.0,100.150657288,124.558693486,462.152862298,410.97313224,42.4850247072,8.6947053499
 10/02  22:00:00,1005.10322605,96.2167197752,605.571687114,0.0,46.0930336215,124.558693486,476.083734892,430.395410723,28.3233498048,17.3649743636
 10/02  23:00:00,1002.87912714,96.2167197752,602.675891936,0.0,46.0930336215,124.558693486,459.640866055,436.786783257,14.1616749024,8.69240789542
 10/02  24:00:00,987.915047727,96.2167197752,600.266983197,0.0,46.0930336215,113.312780494,455.851438165,441.494407817,5.66466996096,8.69236038726
 10/03  01:00:00,984.506432657,96.2167197752,597.164178836,0.0,46.0930336215,113.312780494,469.43516806,446.405605513,5.66466996096,17.3648925865
 10/03  02:00:00,979.712348188,96.2167197752,592.626718729,0.0,46.0930336215,113.312780494,465.661161989,451.304006898,5.66466996096,8.69248512979
 10/03  03:00:00,975.934207612,96.2167197752,589.046359083,0.0,46.0930336215,113.312780494,470.591515123,456.23437955,5.66466996096,8.69246561249
 10/03  04:00:00,1064.57812564,96.2167197752,584.933706345,0.0,100.150657288,148.969399434,462.539520874,439.510008924,5.66466996096,17.3648419897
 10/03  05:00:00,1062.3521084,96.4372946731,581.458802059,0.0,100.150657288,149.894399434,667.353691862,644.499638517,14.1616749024,8.69237844245
 10/03  06:00:00,1286.87495278,98.0324984559,580.248756989,0.0,176.471037341,302.612436532,508.600373857,471.584676578,28.3233498048,8.69234747489
 10/03  07:00:00,1401.32631065,100.085052967,581.638820486,0.0,243.2593065,310.10971186,487.934412448,427.608458738,42.4850247072,17.8409290026
 10/03  08:00:00,1450.4511127,101.082835188,588.058131091,0.0,243.2593065,310.10971186,480.200330182,397.554816016,56.6466996096,25.9988145566
